source_category,target_category,source_var,target_var,coefficient,t_stat,stars,sig_05,sig_01,sig_001,model
Education,Governance & Politics,edu_cnt_l1,gov_pol_cnt,-0.000949,-2.77,**,True,True,False,2
Labor,Governance & Politics,labor_cnt_l1,gov_pol_cnt,-0.000342,-0.95,,False,False,False,2
Human Rights & Identity,Governance & Politics,human_rights_cnt_l1,gov_pol_cnt,3.98e-05,0.44,,False,False,False,2
Justice & Accountability,Governance & Politics,justice_cnt_l1,gov_pol_cnt,0.000944,5.35,***,True,True,True,2
Security & Conflict,Governance & Politics,security_cnt_l1,gov_pol_cnt,-0.00112,-1.88,,False,False,False,2
Health & Social Welfare,Governance & Politics,health_cnt_l1,gov_pol_cnt,0.00148,2.16,*,True,False,False,2
Other,Governance & Politics,other_cnt_l1,gov_pol_cnt,0.00213,2.26,*,True,False,False,2
Religion & Belief,Governance & Politics,religion_cnt_l1,gov_pol_cnt,0.000167,8.64,***,True,True,True,2
Prices & Economy,Governance & Politics,economy_cnt_l1,gov_pol_cnt,-0.000421,-0.63,,False,False,False,2
Public Services & Infrastructure,Governance & Politics,pub_serv_cnt_l1,gov_pol_cnt,0.000601,1.98,*,True,False,False,2
International Solidarity & Foreign Policy,Governance & Politics,intl_solidarity_cnt_l1,gov_pol_cnt,0.000299,0.95,,False,False,False,2
Environment,Governance & Politics,enviro_cnt_l1,gov_pol_cnt,-0.00113,-5.14,***,True,True,True,2
Agriculture & Rural,Governance & Politics,agri_cnt_l1,gov_pol_cnt,0.000614,2.45,*,True,False,False,2
"Land, Property & Housing",Governance & Politics,land_cnt_l1,gov_pol_cnt,0.00126,0.76,,False,False,False,2
Governance & Politics,Education,gov_pol_cnt_l1,edu_cnt,-0.000166,-2.61,**,True,True,False,2
Labor,Education,labor_cnt_l1,edu_cnt,-3.61e-05,-0.16,,False,False,False,2
Human Rights & Identity,Education,human_rights_cnt_l1,edu_cnt,6.09e-05,0.86,,False,False,False,2
Justice & Accountability,Education,justice_cnt_l1,edu_cnt,0.000123,0.37,,False,False,False,2
Security & Conflict,Education,security_cnt_l1,edu_cnt,-1.32e-05,-0.06,,False,False,False,2
Health & Social Welfare,Education,health_cnt_l1,edu_cnt,-8.51e-05,-0.3,,False,False,False,2
Other,Education,other_cnt_l1,edu_cnt,0.00495,4.44,***,True,True,True,2
Religion & Belief,Education,religion_cnt_l1,edu_cnt,0.000612,2.79,**,True,True,False,2
Prices & Economy,Education,economy_cnt_l1,edu_cnt,0.000475,2.93,**,True,True,False,2
Public Services & Infrastructure,Education,pub_serv_cnt_l1,edu_cnt,0.000226,0.67,,False,False,False,2
International Solidarity & Foreign Policy,Education,intl_solidarity_cnt_l1,edu_cnt,-0.000211,-0.76,,False,False,False,2
Environment,Education,enviro_cnt_l1,edu_cnt,-0.00112,-1.54,,False,False,False,2
Agriculture & Rural,Education,agri_cnt_l1,edu_cnt,0.000901,3.51,***,True,True,True,2
"Land, Property & Housing",Education,land_cnt_l1,edu_cnt,0.0022,1.41,,False,False,False,2
Governance & Politics,Labor,gov_pol_cnt_l1,labor_cnt,1.03e-05,0.23,,False,False,False,2
Education,Labor,edu_cnt_l1,labor_cnt,0.00068,2.68,**,True,True,False,2
Human Rights & Identity,Labor,human_rights_cnt_l1,labor_cnt,1.46e-05,0.39,,False,False,False,2
Justice & Accountability,Labor,justice_cnt_l1,labor_cnt,-4.88e-05,-0.14,,False,False,False,2
Security & Conflict,Labor,security_cnt_l1,labor_cnt,-0.000616,-1.74,,False,False,False,2
Health & Social Welfare,Labor,health_cnt_l1,labor_cnt,0.000288,1.53,,False,False,False,2
Other,Labor,other_cnt_l1,labor_cnt,0.00155,3.27,**,True,True,False,2
Religion & Belief,Labor,religion_cnt_l1,labor_cnt,0.000134,2.25,*,True,False,False,2
Prices & Economy,Labor,economy_cnt_l1,labor_cnt,0.000305,2.08,*,True,False,False,2
Public Services & Infrastructure,Labor,pub_serv_cnt_l1,labor_cnt,0.000292,1.92,,False,False,False,2
International Solidarity & Foreign Policy,Labor,intl_solidarity_cnt_l1,labor_cnt,5.22e-05,0.25,,False,False,False,2
Environment,Labor,enviro_cnt_l1,labor_cnt,-0.000516,-1.43,,False,False,False,2
Agriculture & Rural,Labor,agri_cnt_l1,labor_cnt,2.85e-06,0.02,,False,False,False,2
"Land, Property & Housing",Labor,land_cnt_l1,labor_cnt,-1.47e-06,-0.0,,False,False,False,2
Governance & Politics,Human Rights & Identity,gov_pol_cnt_l1,human_rights_cnt,-0.000139,-1.35,,False,False,False,2
Education,Human Rights & Identity,edu_cnt_l1,human_rights_cnt,0.00208,4.31,***,True,True,True,2
Labor,Human Rights & Identity,labor_cnt_l1,human_rights_cnt,9.74e-05,0.6,,False,False,False,2
Justice & Accountability,Human Rights & Identity,justice_cnt_l1,human_rights_cnt,0.00109,4.14,***,True,True,True,2
Security & Conflict,Human Rights & Identity,security_cnt_l1,human_rights_cnt,0.00121,1.27,,False,False,False,2
Health & Social Welfare,Human Rights & Identity,health_cnt_l1,human_rights_cnt,0.00106,2.26,*,True,False,False,2
Other,Human Rights & Identity,other_cnt_l1,human_rights_cnt,-0.000206,-0.48,,False,False,False,2
Religion & Belief,Human Rights & Identity,religion_cnt_l1,human_rights_cnt,-5.64e-05,-0.77,,False,False,False,2
Prices & Economy,Human Rights & Identity,economy_cnt_l1,human_rights_cnt,5.58e-06,0.01,,False,False,False,2
Public Services & Infrastructure,Human Rights & Identity,pub_serv_cnt_l1,human_rights_cnt,2.93e-05,0.07,,False,False,False,2
International Solidarity & Foreign Policy,Human Rights & Identity,intl_solidarity_cnt_l1,human_rights_cnt,0.000147,0.71,,False,False,False,2
Environment,Human Rights & Identity,enviro_cnt_l1,human_rights_cnt,-0.000853,-2.87,**,True,True,False,2
Agriculture & Rural,Human Rights & Identity,agri_cnt_l1,human_rights_cnt,0.000922,2.69,**,True,True,False,2
"Land, Property & Housing",Human Rights & Identity,land_cnt_l1,human_rights_cnt,0.00336,2.56,*,True,False,False,2
Governance & Politics,Justice & Accountability,gov_pol_cnt_l1,justice_cnt,5.33e-05,0.55,,False,False,False,2
Education,Justice & Accountability,edu_cnt_l1,justice_cnt,0.000629,1.03,,False,False,False,2
Labor,Justice & Accountability,labor_cnt_l1,justice_cnt,-0.000425,-1.72,,False,False,False,2
Human Rights & Identity,Justice & Accountability,human_rights_cnt_l1,justice_cnt,0.000177,2.81,**,True,True,False,2
Security & Conflict,Justice & Accountability,security_cnt_l1,justice_cnt,-0.000407,-2.83,**,True,True,False,2
Health & Social Welfare,Justice & Accountability,health_cnt_l1,justice_cnt,0.00183,2.11,*,True,False,False,2
Other,Justice & Accountability,other_cnt_l1,justice_cnt,0.000887,4.47,***,True,True,True,2
Religion & Belief,Justice & Accountability,religion_cnt_l1,justice_cnt,4.09e-05,0.97,,False,False,False,2
Prices & Economy,Justice & Accountability,economy_cnt_l1,justice_cnt,0.000338,0.93,,False,False,False,2
Public Services & Infrastructure,Justice & Accountability,pub_serv_cnt_l1,justice_cnt,-0.000143,-0.6,,False,False,False,2
International Solidarity & Foreign Policy,Justice & Accountability,intl_solidarity_cnt_l1,justice_cnt,-4.32e-05,-0.24,,False,False,False,2
Environment,Justice & Accountability,enviro_cnt_l1,justice_cnt,-0.00115,-7.96,***,True,True,True,2
Agriculture & Rural,Justice & Accountability,agri_cnt_l1,justice_cnt,0.000518,2.43,*,True,False,False,2
"Land, Property & Housing",Justice & Accountability,land_cnt_l1,justice_cnt,0.000905,0.57,,False,False,False,2
Governance & Politics,Security & Conflict,gov_pol_cnt_l1,security_cnt,0.000191,1.11,,False,False,False,2
Education,Security & Conflict,edu_cnt_l1,security_cnt,-0.00116,-1.31,,False,False,False,2
Labor,Security & Conflict,labor_cnt_l1,security_cnt,0.000975,2.51,*,True,False,False,2
Human Rights & Identity,Security & Conflict,human_rights_cnt_l1,security_cnt,0.000102,1.63,,False,False,False,2
Justice & Accountability,Security & Conflict,justice_cnt_l1,security_cnt,0.00124,4.69,***,True,True,True,2
Health & Social Welfare,Security & Conflict,health_cnt_l1,security_cnt,-0.00192,-2.6,**,True,True,False,2
Other,Security & Conflict,other_cnt_l1,security_cnt,0.00256,2.71,**,True,True,False,2
Religion & Belief,Security & Conflict,religion_cnt_l1,security_cnt,0.00027,3.06,**,True,True,False,2
Prices & Economy,Security & Conflict,economy_cnt_l1,security_cnt,0.000346,0.73,,False,False,False,2
Public Services & Infrastructure,Security & Conflict,pub_serv_cnt_l1,security_cnt,-4.92e-05,-0.24,,False,False,False,2
International Solidarity & Foreign Policy,Security & Conflict,intl_solidarity_cnt_l1,security_cnt,-0.000834,-1.45,,False,False,False,2
Environment,Security & Conflict,enviro_cnt_l1,security_cnt,-0.00138,-3.29,***,True,True,True,2
Agriculture & Rural,Security & Conflict,agri_cnt_l1,security_cnt,-2.57e-05,-0.06,,False,False,False,2
"Land, Property & Housing",Security & Conflict,land_cnt_l1,security_cnt,0.00414,2.37,*,True,False,False,2
Governance & Politics,Health & Social Welfare,gov_pol_cnt_l1,health_cnt,0.000105,1.02,,False,False,False,2
Education,Health & Social Welfare,edu_cnt_l1,health_cnt,0.000914,1.5,,False,False,False,2
Labor,Health & Social Welfare,labor_cnt_l1,health_cnt,2.38e-05,0.1,,False,False,False,2
Human Rights & Identity,Health & Social Welfare,human_rights_cnt_l1,health_cnt,0.000122,3.51,***,True,True,True,2
Justice & Accountability,Health & Social Welfare,justice_cnt_l1,health_cnt,0.000848,4.68,***,True,True,True,2
Security & Conflict,Health & Social Welfare,security_cnt_l1,health_cnt,0.000368,0.97,,False,False,False,2
Other,Health & Social Welfare,other_cnt_l1,health_cnt,0.000169,0.18,,False,False,False,2
Religion & Belief,Health & Social Welfare,religion_cnt_l1,health_cnt,1.77e-05,0.36,,False,False,False,2
Prices & Economy,Health & Social Welfare,economy_cnt_l1,health_cnt,0.000436,1.98,*,True,False,False,2
Public Services & Infrastructure,Health & Social Welfare,pub_serv_cnt_l1,health_cnt,-0.000158,-0.84,,False,False,False,2
International Solidarity & Foreign Policy,Health & Social Welfare,intl_solidarity_cnt_l1,health_cnt,0.000237,1.32,,False,False,False,2
Environment,Health & Social Welfare,enviro_cnt_l1,health_cnt,-0.00098,-4.5,***,True,True,True,2
Agriculture & Rural,Health & Social Welfare,agri_cnt_l1,health_cnt,0.000298,1.16,,False,False,False,2
"Land, Property & Housing",Health & Social Welfare,land_cnt_l1,health_cnt,0.000296,0.23,,False,False,False,2
Governance & Politics,Religion & Belief,gov_pol_cnt_l1,religion_cnt,-0.000168,-1.67,,False,False,False,2
Education,Religion & Belief,edu_cnt_l1,religion_cnt,0.00177,2.08,*,True,False,False,2
Labor,Religion & Belief,labor_cnt_l1,religion_cnt,0.000138,0.21,,False,False,False,2
Human Rights & Identity,Religion & Belief,human_rights_cnt_l1,religion_cnt,0.000267,2.9,**,True,True,False,2
Justice & Accountability,Religion & Belief,justice_cnt_l1,religion_cnt,-0.000187,-0.67,,False,False,False,2
Security & Conflict,Religion & Belief,security_cnt_l1,religion_cnt,-0.000763,-2.06,*,True,False,False,2
Health & Social Welfare,Religion & Belief,health_cnt_l1,religion_cnt,0.00125,6.39,***,True,True,True,2
Other,Religion & Belief,other_cnt_l1,religion_cnt,0.000354,0.59,,False,False,False,2
